Θεωρούταν ο Ηρακλής ως ο μέγιστος ήρωας των Ελλήνων;,ΝΑΙ,ΟΧΙ
Ήταν ο Ηρακλής γιός του Άρη;,ΟΧΙ,ΝΑΙ
Σκότωσε ο Ηρακλής τα άγρια άλογα του Διομήδη;,ΟΧΙ,ΝΑΙ
Είχε περισσότερα από 10 παιδιά ο Ηρακλής;,ΝΑΙ,ΟΧΙ
Πήρε μέρος ο Ηρακλής στην αργοναυτική εκστρατεία,ΝΑΙ,ΟΧΙ
Σε ποια περιοχή ελευθέρωσε ο Ηρακλής τον Προμηθέα;,Καύκασο,Όλυμπος
Ποιός Κένταυρος δίδαξε στον Ηρακλή τις επιστήμες;,Χείρων,Μαρσύας
Με ποιόν ήταν η μητέρα του Ηρακλή παντρεμένη;,Αμφιτρύωνας,Αλκαίος
Ποιός φύλαγε τα μήλα των εσπερίδων που πήρε ο Ηρακλής;,Άτλας,Πολύφημος
Που νίκησε ο Ηρακλής τον γίγαντα Άνταιο;,Λιβύη,Κέρκυρα
