Was Hercules the greatest of greak heroes?;YES;NO
Was Hercules Ares's son?;NO;YES
Did Hercules kill the angry horses of Diomidis?;NO;YES
Did Hercules have more than 10 children?;YES;NO
Did Hercules take part in Argonaut campaign?;YES;NO
In which area did Hercules get Promitheus free?;Kaukasos;Olympus
Which Kentauros taught Hercules science?;Cheiron;Marsyas
Who was Hercules's mother husband?;Amfitrionas;Alkaios
Who kept the apples of Esperides safe?;Atlas;Polifimos
Where did Hercules win the giant Adaio?;Libya;Kerkyra
